,Mouse,CutoffFraction,Ensemble,FractionOfGadCells
0,RLI12-3,10,Aversive,0.1232876712328767
1,RLI12-3,10,Overlap,0.3835616438356164
2,RLI12-3,10,Neutral,0.273972602739726
3,RLI12-3,10,Remaining,0.2191780821917808
0,RLI12-3,12,Aversive,0.10795454545454546
1,RLI12-3,12,Overlap,0.3977272727272727
2,RLI12-3,12,Neutral,0.2897727272727273
3,RLI12-3,12,Remaining,0.20454545454545456
0,RLI12-3,14,Aversive,0.12682926829268293
1,RLI12-3,14,Overlap,0.37073170731707317
2,RLI12-3,14,Neutral,0.25853658536585367
3,RLI12-3,14,Remaining,0.24390243902439024
0,RLI12-3,16,Aversive,0.12340425531914893
1,RLI12-3,16,Overlap,0.3659574468085106
2,RLI12-3,16,Neutral,0.2723404255319149
3,RLI12-3,16,Remaining,0.23829787234042554
0,RLI12-3,18,Aversive,0.10984848484848485
1,RLI12-3,18,Overlap,0.35984848484848486
2,RLI12-3,18,Neutral,0.25757575757575757
3,RLI12-3,18,Remaining,0.2727272727272727
0,RLI12-3,20,Aversive,0.12627986348122866
1,RLI12-3,20,Overlap,0.3583617747440273
2,RLI12-3,20,Neutral,0.24232081911262798
3,RLI12-3,20,Remaining,0.27303754266211605
0,RLI12-3,22,Aversive,0.11455108359133127
1,RLI12-3,22,Overlap,0.33746130030959753
2,RLI12-3,22,Neutral,0.26625386996904027
3,RLI12-3,22,Remaining,0.28173374613003094
0,RLI12-3,24,Aversive,0.10795454545454546
1,RLI12-3,24,Overlap,0.3096590909090909
2,RLI12-3,24,Neutral,0.2528409090909091
3,RLI12-3,24,Remaining,0.32954545454545453
0,RLI12-3,26,Aversive,0.12860892388451445
1,RLI12-3,26,Overlap,0.3333333333333333
2,RLI12-3,26,Neutral,0.2335958005249344
3,RLI12-3,26,Remaining,0.30446194225721784
0,RLI12-3,28,Aversive,0.12652068126520682
1,RLI12-3,28,Overlap,0.36739659367396593
2,RLI12-3,28,Neutral,0.21654501216545013
3,RLI12-3,28,Remaining,0.2895377128953771
0,RLI12-3,30,Aversive,0.11818181818181818
1,RLI12-3,30,Overlap,0.3431818181818182
2,RLI12-3,30,Neutral,0.20227272727272727
3,RLI12-3,30,Remaining,0.33636363636363636
0,RLI12-3,32,Aversive,0.11063829787234042
1,RLI12-3,32,Overlap,0.32127659574468087
2,RLI12-3,32,Neutral,0.18936170212765957
3,RLI12-3,32,Remaining,0.37872340425531914
0,RLI12-3,34,Aversive,0.10420841683366733
1,RLI12-3,34,Overlap,0.3026052104208417
2,RLI12-3,34,Neutral,0.17835671342685372
3,RLI12-3,34,Remaining,0.4148296593186373
0,RLI12-3,36,Aversive,0.09848484848484848
1,RLI12-3,36,Overlap,0.2859848484848485
2,RLI12-3,36,Neutral,0.16856060606060605
3,RLI12-3,36,Remaining,0.44696969696969696
0,RLI12-3,38,Aversive,0.0931899641577061
1,RLI12-3,38,Overlap,0.27060931899641577
2,RLI12-3,38,Neutral,0.15949820788530467
3,RLI12-3,38,Remaining,0.4767025089605735
0,RLI12-3,40,Aversive,0.08858603066439523
1,RLI12-3,40,Overlap,0.2572402044293015
2,RLI12-3,40,Neutral,0.151618398637138
3,RLI12-3,40,Remaining,0.5025553662691652
0,RLI12-3,42,Aversive,0.08441558441558442
1,RLI12-3,42,Overlap,0.24512987012987014
2,RLI12-3,42,Neutral,0.1444805194805195
3,RLI12-3,42,Remaining,0.525974025974026
0,RLI12-3,44,Aversive,0.0804953560371517
1,RLI12-3,44,Overlap,0.23374613003095976
2,RLI12-3,44,Neutral,0.13777089783281735
3,RLI12-3,44,Remaining,0.5479876160990712
0,RLI12-3,46,Aversive,0.07703703703703704
1,RLI12-3,46,Overlap,0.2237037037037037
2,RLI12-3,46,Neutral,0.13185185185185186
3,RLI12-3,46,Remaining,0.5674074074074074
0,RLI12-3,48,Aversive,0.07375886524822695
1,RLI12-3,48,Overlap,0.21418439716312057
2,RLI12-3,48,Neutral,0.12624113475177304
3,RLI12-3,48,Remaining,0.5858156028368794
0,RLI12-3,50,Aversive,0.07084468664850137
1,RLI12-3,50,Overlap,0.20572207084468666
2,RLI12-3,50,Neutral,0.12125340599455041
3,RLI12-3,50,Remaining,0.6021798365122616
0,RLI12-3,52,Aversive,0.06815203145478375
1,RLI12-3,52,Overlap,0.19790301441677588
2,RLI12-3,52,Neutral,0.11664482306684142
3,RLI12-3,52,Remaining,0.617300131061599
0,RLI12-3,54,Aversive,0.06557377049180328
1,RLI12-3,54,Overlap,0.19041614123581338
2,RLI12-3,54,Neutral,0.11223203026481715
3,RLI12-3,54,Remaining,0.6317780580075663
0,RLI12-3,56,Aversive,0.06326034063260341
1,RLI12-3,56,Overlap,0.18369829683698297
2,RLI12-3,56,Neutral,0.10827250608272507
3,RLI12-3,56,Remaining,0.6447688564476886
0,RLI12-3,58,Aversive,0.06103286384976526
1,RLI12-3,58,Overlap,0.1772300469483568
2,RLI12-3,58,Neutral,0.10446009389671361
3,RLI12-3,58,Remaining,0.6572769953051644
0,RLI12-3,60,Aversive,0.05902383654937571
1,RLI12-3,60,Overlap,0.1713961407491487
2,RLI12-3,60,Neutral,0.10102156640181612
3,RLI12-3,60,Remaining,0.6685584562996595
0,RLI12-3,62,Aversive,0.05714285714285714
1,RLI12-3,62,Overlap,0.16593406593406593
2,RLI12-3,62,Neutral,0.0978021978021978
3,RLI12-3,62,Remaining,0.6791208791208792
0,RLI12-3,64,Aversive,0.05531914893617021
1,RLI12-3,64,Overlap,0.16170212765957448
2,RLI12-3,64,Neutral,0.09574468085106383
3,RLI12-3,64,Remaining,0.6872340425531915
0,RLI12-3,66,Aversive,0.053663570691434466
1,RLI12-3,66,Overlap,0.1568627450980392
2,RLI12-3,66,Neutral,0.12280701754385964
3,RLI12-3,66,Remaining,0.6666666666666666
0,RLI12-3,68,Aversive,0.052104208416833664
1,RLI12-3,68,Overlap,0.16132264529058116
2,RLI12-3,68,Neutral,0.13927855711422846
3,RLI12-3,68,Remaining,0.6472945891783567
0,RLI12-3,70,Aversive,0.05058365758754864
1,RLI12-3,70,Overlap,0.1575875486381323
2,RLI12-3,70,Neutral,0.16342412451361868
3,RLI12-3,70,Remaining,0.6284046692607004
0,RLI12-3,72,Aversive,0.04919583727530748
1,RLI12-3,72,Overlap,0.15704824976348156
2,RLI12-3,72,Neutral,0.17880794701986755
3,RLI12-3,72,Remaining,0.6149479659413434
0,RLI12-3,74,Aversive,0.04783808647654094
1,RLI12-3,74,Overlap,0.16743330266789327
2,RLI12-3,74,Neutral,0.1858325666973321
3,RLI12-3,74,Remaining,0.5988960441582337
0,RLI12-3,76,Aversive,0.04659498207885305
1,RLI12-3,76,Overlap,0.18100358422939067
2,RLI12-3,76,Neutral,0.18906810035842295
3,RLI12-3,76,Remaining,0.5833333333333334
0,RLI12-3,78,Aversive,0.045414847161572056
1,RLI12-3,78,Overlap,0.2
